10000, 0.74, 0.24, 0.46, 0, 0.01, 0.11, 0.01, 
11000, 0.9, 0.3, 0.57, 0, 0.01, 0.12, 0.01, 
12000, 1.08, 0.35, 0.68, 0.01, 0, 0.15, 0.01, 
13000, 1.26, 0.41, 0.83, 0, 0.01, 0.15, 0.02, 
14000, 1.46, 0.48, 0.97, 0, 0.01, 0.16, 0, 
15000, 1.69, 0.55, 1.12, 0, 0.01, 0.17, 0.01, 
16000, 1.92, 0.62, 1.29, 0, 0.01, 0.18, 0.01, 
17000, 2.16, 0.7, 1.48, 0, 0.01, 0.18, 0.01, 
18000, 2.42, 0.79, 1.67, 0.01, 0.01, 0.17, 0.01, 
19000, 2.71, 0.88, 1.88, 0.01, 0.01, 0.19, 0.01, 
20000, 3.01, 0.98, 2.11, 0, 0.01, 0.21, 0.01, 
21000, 3.31, 1.08, 2.36, 0.01, 0.01, 0.21, 0.01, 
22000, 3.64, 1.18, 2.6, 0, 0.02, 0.2, 0.01, 
23000, 3.98, 1.29, 2.88, 0.01, 0.01, 0.21, 0.01, 
24000, 4.32, 1.41, 3.15, 0.01, 0.02, 0.21, 0.01, 
25000, 4.69, 1.53, 3.45, 0.01, 0.02, 0.2, 0.02, 
26000, 5.08, 1.65, 3.75, 0.02, 0.01, 0.2, 0.02, 
27000, 5.48, 1.78, 4.08, 0.01, 0.02, 0.23, 0.02, 
28000, 5.89, 1.91, 4.42, 0.01, 0.02, 0.23, 0.02, 
29000, 6.32, 2.05, 4.77, 0.01, 0.02, 0.24, 0.02, 
30000, 6.76, 2.19, 5.14, 0.01, 0.02, 0.25, 0.02, 
31000, 7.22, 2.35, 5.5, 0.02, 0.01, 0.26, 0.02, 
32000, 7.7, 2.5, 5.9, 0.01, 0.02, 0.25, 0.02, 
33000, 8.18, 2.66, 6.31, 0.02, 0.02, 0.26, 0.02, 
34000, 8.68, 2.82, 6.73, 0.01, 0.02, 0.26, 0.02, 
35000, 9.2, 2.98, 7.17, 0.01, 0.02, 0.27, 0.03, 
36000, 9.74, 3.16, 7.62, 0.01, 0.03, 0.27, 0.02, 
37000, 10.29, 3.34, 8.07, 0.01, 0.02, 0.27, 0.02, 
38000, 10.86, 3.52, 8.55, 0.01, 0.03, 0.28, 0.02, 
39000, 11.43, 3.71, 9.03, 0.01, 0.03, 0.32, 0.02, 
40000, 12.03, 3.9, 9.54, 0.02, 0.02, 0.34, 0.02, 
41000, 12.63, 4.1, 10.06, 0.02, 0.02, 0.32, 0.02, 
42000, 13.27, 4.31, 10.59, 0.01, 0.03, 0.32, 0.03, 
43000, 13.92, 4.5, 11.12, 0.01, 0.02, 0.34, 0.03, 
44000, 14.55, 4.73, 11.7, 0.02, 0.02, 0.35, 0.02, 
45000, 15.23, 4.94, 12.28, 0.01, 0.03, 0.36, 0.02, 
46000, 15.91, 5.16, 12.86, 0.02, 0.03, 0.36, 0.03, 
47000, 16.62, 5.38, 13.45, 0.02, 0.03, 0.38, 0.03, 
48000, 17.36, 5.61, 14.07, 0.02, 0.03, 0.37, 0.03, 
49000, 18.07, 5.85, 14.69, 0.02, 0.03, 0.38, 0.03, 
50000, 18.8, 6.09, 15.33, 0.02, 0.03, 0.39, 0.03, 
51000, 19.58, 6.35, 15.99, 0.02, 0.03, 0.4, 0.03, 
52000, 20.36, 6.6, 16.67, 0.02, 0.03, 0.42, 0.03, 
53000, 21.17, 6.85, 17.36, 0.02, 0.03, 0.42, 0.03, 
54000, 21.96, 7.11, 18.02, 0.02, 0.03, 0.42, 0.03, 
55000, 22.76, 7.37, 18.76, 0.02, 0.03, 0.43, 0.04, 
56000, 23.6, 7.64, 19.47, 0.02, 0.03, 0.44, 0.03, 
57000, 24.43, 7.92, 20.21, 0.02, 0.04, 0.43, 0.04, 
58000, 25.29, 8.2, 20.97, 0.03, 0.03, 0.45, 0.04, 
59000, 26.18, 8.49, 21.76, 0.04, 0.03, 0.44, 0.04, 
60000, 27.04, 8.78, 22.52, 0.02, 0.04, 0.45, 0.04, 
61000, 27.96, 9.07, 23.32, 0.03, 0.03, 0.46, 0.04, 
